"years","total_animals","adopted","adoption_rate","Transfered","transfer_rate","Returned","return_rate","good_outcomes"
0.0,17352,8679,0.5002,7658,0.4413,135,0.0078,0.9493
1.0,4923,1642,0.3335,2736,0.5558,274,0.0557,0.945
11.0,102,62,0.6078,19,0.1863,15,0.1471,0.9412
6.0,364,141,0.3874,125,0.3434,70,0.1923,0.9231
2.0,2658,716,0.2694,1464,0.5508,264,0.0993,0.9195
3.0,1075,384,0.3572,452,0.4205,149,0.1386,0.9163
7.0,339,152,0.4484,90,0.2655,67,0.1976,0.9115
4.0,564,199,0.3528,206,0.3652,107,0.1897,0.9078
9.0,192,102,0.5313,46,0.2396,23,0.1198,0.8906
16.0,34,9,0.2647,7,0.2059,14,0.4118,0.8824
14.0,84,33,0.3929,21,0.25,19,0.2262,0.869
8.0,398,178,0.4472,115,0.2889,52,0.1307,0.8668
5.0,558,191,0.3423,192,0.3441,99,0.1774,0.8638
13.0,124,53,0.4274,21,0.1694,26,0.2097,0.8065
17.0,29,3,0.1034,9,0.3103,11,0.3793,0.7931
10.0,334,119,0.3563,80,0.2395,61,0.1826,0.7784
15.0,85,23,0.2706,29,0.3412,12,0.1412,0.7529
22.0,4,0,0.0,0,0.0,3,0.75,0.75
12.0,175,44,0.2514,50,0.2857,22,0.1257,0.6629
20.0,12,0,0.0,2,0.1667,4,0.3333,0.5
19.0,2,0,0.0,1,0.5,0,0.0,0.5
18.0,12,2,0.1667,0,0.0,4,0.3333,0.5
21.0,1,0,0.0,0,0.0,0,0.0,0.0
