"breed","total_animals","adopted","adoption_rate","Transfered","transfer_rate","Returned","return_rate","good_outcomes"
russian blue,69,35,0.5072,18,0.2609,15,0.2174,0.9855
manx,80,45,0.5625,27,0.3375,6,0.075,0.975
maine coon,116,62,0.5345,31,0.2672,19,0.1638,0.9655
snowshoe,156,75,0.4808,69,0.4423,6,0.0385,0.9615
american shorthair,211,77,0.3649,108,0.5118,14,0.0664,0.9431
domestic shorthair,23720,10080,0.425,11052,0.4659,1060,0.0447,0.9356
siamese,1058,492,0.465,417,0.3941,73,0.069,0.9282
domestic mediumhair,2454,1112,0.4531,1061,0.4324,101,0.0412,0.9267
domestic longhair,1273,605,0.4753,461,0.3621,100,0.0786,0.9159
himalayan,38,16,0.4211,10,0.2632,7,0.1842,0.8684
